Movie Name,Actors,Genre
Junooniyat,Pulkit Samrat|Yami Gautam|Gulshan Devaiah|Hrishitaa Bhatt|S. Poonam Kaur|Aneesha Joshi|Herry Tangiri|Khushboo Upadhyay|Sanjay Mehandiratta|Charu Rohatgi|Shakeel Khan|Ravi Khemu|Anoop Kamal Singh|Madhuri D. Bandiwedkar|,Drama|Romance
Rough Book,Tannishtha Chatterjee|Mukesh Hariawala|Amaan f Khan|Kaizaad Kotwal|Joy Sengupta|Jayati Bhatia|Jayesh Bhatia|Deepika Amin|Vinay Jain|Ram Kapoor|,Drama
Fredrick ,Avinash Dhyani|Prashant Narayanan|Tulna Butalia|,Action|Thriller
Dil Toh Deewana Hai,Zeenat Aman|Raj Babbar|Meenu Bhardwaj|Raja Bundela|Shweta Giri|Haider Khan|Hyder Khan|Mobin Khan|Mohsin Khan|Sushmita Mukherjee|Alok Nath|Hemant Pandey|,Drama|Romance
Sultan ,Salman Khan|Anushka Sharma|Kubbra Sait|Marko Zaror|Randeep Hooda|Hans Marrero|Tyron Woodley|Björn Freiberg|Amit Sadh|Ron Smoorenburg|Kabir Khan|Parikshat Sahni|Marrese Crump|Kumud Mishra|,Action|Drama|Sport
Brahman Naman,Shashank Arora|Tanmay Dhanania|Chaitanya Varad|Vaishwath Shankar|Sindhu Sreenivasa Murthy|Subholina Sen|Anula Navlekar|Sid Mallya|Denzil Smith|Biswa Kalyan Rath|Shataf Figar|Kartik Iyer|Anisa Butt|Amrusha Palchaudhuri|,Comedy
Great Grand Masti,Urvashi Rautela|Riteish Deshmukh|Vivek Oberoi|Aftab Shivdasani|Puja Bose|Mishti|Shradha Das|Usha Nadkarni|Kangna Sharma|Ketan Karande|Sanjay Mishra|Bhadra Parekh|Vijay Gupta|Farzil Pardiwalla|,Comedy|Drama|Fantasy
Ishq Click,Sara Loren|Adhyayan Suman|Aaryansh Arora|Sanskkriti Jain|Sanjay Gurbaxani|Narendra Jetley|,Drama|Romance
Madaari,Irrfan Khan|Jimmy Sheirgill|Vishesh Bansal|Tushar Dalvi|Nitish Pandey|,Adventure|Drama|Thriller
Dishoom,John Abraham|Varun Dhawan|Nargis Fakhri|Jacqueline Fernandez|Rahul Dev|Satish Kaushik|Saqib Saleem|Vijay Raaz|Akshay Kumar|Akshaye Khanna|Rashmi Nigam|Tarun Khanna|Parineeti Chopra|Tirth|,Action|Adventure|Comedy
Fever ,Rajeev Khandelwal|Gauhar Khan|Gemma Atkinson|Ankita Makwana|Caterina Murino|Victor Banerjee|,Crime|Mystery
Rustom ,Ileana D'Cruz|Akshay Kumar|Manoj Bajpayee|Sharad Kelkar|Esha Gupta|Arjan Bajwa|Hiten Patel|Sachin Khedekar|Kumud Mishra|Pavan Malhotra|Ty Hurley|Brijendra Kala|Parmeet Sethi|Kanwaljit Singh|,Crime|Drama|Thriller
Hai Apna Dil Toh Awara,Sahil Anand|Niyati Joshi|Vikram Kochhar|Divvya Chouksey|Nilesh Lalwani|Jayaka Yagnik|Herry Tangiri|Sareh Far|,Comedy
Mohenjo Daro ,Hrithik Roshan|Pooja Hegde|Kabir Bedi|Arunoday Singh|Suhasini Mulay|Nitish Bharadwaj|Kishori Shahane|Sharad Kelkar|Manish Chaudhary|Narendra Jha|Shaji Chaudhary|Tufail Khan Rigoo|Diganta Hazarika|Naina Trivedi|,Action|Adventure|Drama
Happy Bhag Jayegi,Diana Penty|Abhay Deol|Jimmy Sheirgill|Ali Fazal|,Comedy|Romance
Waarrior Savitri,Niharica Raizada|Rajat Barmecha|Lucy Pinder|Tim Man|Om Puri|Gulshan Grover|Ron Smoorenburg|Aditya Raj|Karamveer Choudhary|Sheetal Khandal|Palak J. Jhaveri|,Action|Thriller
A Flying Jatt,Tiger Shroff|Jacqueline Fernandez|Nathan Jones|Kay Kay Menon|Mukesh Hariawala|Amrita Singh|Gaurav Pandey|Shraddha Kapoor|Amrita Puri|,Action|Adventure|Comedy
Baar Baar Dekho,Sidharth Malhotra|Katrina Kaif|Sayani Gupta|,Comedy|Drama|Romance
Freaky Ali,Nawazuddin Siddiqui|Arbaaz Khan|Amy Jackson|Asif Basra|,Comedy|Sport
Raaz: Reboot,Emraan Hashmi|Kriti Kharbanda|Suzanna Mukherjee|Gaurav Arora|Ashwath Bhatt|Hargun Grover|Trupti Agarwal|,Horror|Mystery|Romance
Pink ,Taapsee Pannu|Amitabh Bachchan|Kirti Kulhari|Andrea Tariang|Piyush Mishra|Angad Bedi|Vijay Varma|Raashul Tandon|Tushar Pandey|Dhritiman Chatterjee|Mamata Shankar|,Drama|Thriller
Banjo ,Riteish Deshmukh|Nargis Fakhri|Aditya Kumar|Ram Menon|Dharmesh Yelande|Uday Sabnis|Janardhan Parab|Luke Kenny|Sheeba George|,Action|Drama|Music
Days of Tafree,Yash Soni|,Comedy
Wah Taj,Shreyas Talpade|Manjari Fadnnis|,Drama
Ek Kahani Julie Ki,Jimmy Sharma|,Drama
M.S. Dhoni: The Untold Story,Sushant Singh Rajput|Kiara Advani|Anupam Kher|Disha Patani|Bhoomika Chawla|Sanjay Dadich|Kali Prasad Mukherjee|Zeeshaan|Mithu Chakraborty|Kranti Prakash Jha|Ashrut Jain|Brijendra Kala|Mukesh Bhatt|Jitin Gulati|,Biography|Drama|Sport
MSG: The Warrior Lion Heart,Ashok Insan|Bhushan Insan|Charanpreet Insan|Garima Insan|Honeypreet Insan|Kainaat Insan|Rajesh Insan|Sukhottam Insan|,Adventure|Fantasy|Sci-Fi
Devi ,RJ Balaji|Tamannaah Bhatia|Prabhu Deva|Karishma Gulati|Esha Gupta|Hema|Farah Khan|Ravi Khanna|R.V. Udhaya Kumar|Joy Mathew|Sapthagiri|Murli Sharma|Kanwalpreet Singh|Sonu Sood|,Comedy|Horror
Motu Patlu: King of Kings,Saurav Chakraborty|,Adventure|Comedy
Anna ,Shashank Udapurkar|Tanishaa Mukerji|Govind Namdeo|Rajit Kapoor|Sharat Saxena|Daya Shankar Pandey|Atul Srivastava|Anant Jog|Arif Zakaria|Kishore Kadam|,Biography
Fuddu,Shubham|Swati Kapoor|Uday Tikekar|Shalini Arora|Paritosh Sand|Sarika Singh|Vicky Ahuja|Shivani Gosain|Hemant Dhome|Anushkaa Singh|Pradeep Gupta|Khurshed Lawyer|Pawan Shharma|,Comedy|Drama
Saat Uchakkey,Manoj Bajpayee|Vijay Raaz|Aditi Sharma|Annu Kapoor|Jatin Sarna|Vipul Vig|Aparshakti Khurana|Kay Kay Menon|Lushin Dubey|Kali Prasad Mukherjee|Brijesh Karanwal|Anjor Sharma|Sunita Shirole|Ashok Pathak|,Comedy
Beiimaan Love,Sunny Leone|Rajniesh Duggall|Daniel Weber|Rajeev Verma|,Drama|Romance|Thriller
Shivaay,Ajay Devgn|Abigail Eames|Erika Kaar|Sayyeshaa Saigal|Vir Das|Girish Karnad|Saurabh Shukla|Sandeep Shrivastava|Amit Behl|Vikas Shorey|Pratik Khattar|Aakash Dabhade|Bijou Thaangjam|Ambika Oli|,Action|Drama|Thriller
Dongari Ka Raja,Ronit Roy|Ashmit Patel|Gashmeer Mahajani|Reecha Sinha|,Action|Drama|Romance
Ae Dil Hai Mushkil,Ranbir Kapoor|Aishwarya Rai Bachchan|Anushka Sharma|Fawad Khan|Lisa Haydon|Imran Abbas|Pooja Mehta|Cru Fox|Jamil Ahmed|Phyl Cashman|Timea Gazdag|Yohan Contractor|Byron|Yolita|,Drama|Music|Musical
Tum Bin II,Neha Sharma|Aditya Seal|Aashim Gulati|Mouni Roy|Meher Vij|Sonia Balani|Kanwaljit Singh|Jaspreet Singh|Alishah Ahmad|Emma Sarah Richardson|Stephanie Payne|Edward York|Nicola Jane Macdonald|Harry Verma|,Drama|Romance
Rock On 2,Farhan Akhtar|Shraddha Kapoor|Arjun Rampal|Purab Kohli|Prachi Desai|Shashank Arora|Shahana Goswami|,Drama|Music
Force 2,John Abraham|Sonakshi Sinha|Tahir Raj Bhasin|Adil Hussain|Björn Freiberg|,Action|Thriller
Dear Zindagi,Alia Bhatt|Shah Rukh Khan|Kunal Kapoor|Priyanka Moodley|Prateek Jain|Aditya Roy Kapoor|Ali Zafar|Bobby Duggal|Angad Bedi|Darwin|Raj Bhansali|Sharic Sequeira|Dilip|Akanksha Gade|,Drama|Romance
Befikre,Vaani Kapoor|Ranveer Singh|Elisa Bachir Bey|Akarsh Khurana|Ayesha Raza|Julie Ordon|Vincent Paquot|Pauline Deshons|Hugo Diego Garcia|Aru Krishansh Verma|Armaan Ralhan|Noom Diawara|François-Marie Nivon|Oceane Dailly|,Comedy|Drama|Romance
Moh Maya Money,Neha Dhupia|Ranvir Shorey|Devendra Chowhan|Vidushi Mehra|Priya Tandon|,Crime|Drama|Thriller
Shorgul,Jimmy Sheirgill|Ashutosh Rana|Rahul Chahan|Suha Gezen|Eijaz Khan|Sanjay Suri|Hiten Tejwani|Aniruddh Dave|Narendra Jha|Deep Raj Rana|Hrishitaa Bhatt|Neetu Pande|,Drama
Saansein,Sonarika Bhadoria|Amir Dalvi|Rajniesh Duggall|Vishal Malhotra|Neetha Shetty|,Horror|Romance
Ki & Ka,Amitabh Bachchan|Kareena Kapoor|Arjun Kapoor|Jaya Bachchan|Rajit Kapoor|Swaroop Sampat|Abhiroy Singh|Ratnesh Mani|N. Madhusudan|Tanvir Singh|Priyanka Moodley|Sanjeev Wadhwani|Geeta Udeshi|Richard John Lovatt|,Comedy|Romance
Wajah Tum Ho,Sharman Joshi|Sana Khaan|Gurmeet Choudhary|Rajniesh Duggall|Himmanshoo A. Malhotra|Prarthana Behere|Sherlyn Chopra|Zareen Khan|,Drama|Mystery|Romance
Dangal ,Aamir Khan|Fatima Sana Shaikh|Sanya Malhotra|Sakshi Tanwar|Aparshakti Khurana|Zaira Wasim|Suhani Bhatnagar|Ritvik Sahore|Girish Kulkarni|,Action|Biography|Drama
Mirzya ,Harshvardhan Kapoor|Saiyami Kher|Art Malik|Anuj Choudhry|Om Puri|K.K. Raina|,Action|Adventure|Drama
Mohalla Assi,Sunny Deol|Sakshi Tanwar|Ravi Kishan|Saurabh Shukla|Mukesh Tiwari|Rajendra Gupta|Mithilesh Chaturvedi|Seema Azmi|,Comedy|Drama
Haraamkhor,Nawazuddin Siddiqui|Shweta Tripathi|Trimala Adhikari|Irfan Khan|Mohammad Samad|Harish Khanna|,Drama|Romance
Saankal,Tanima Bhattacharya|Chetan Sharma|Harish Hariaudh|Jagat Singh|Samarth Shandilya|,Drama
Aligarh ,Sukhesh Arora|Manoj Bajpayee|Balaji Gauri|Sumit Gulati|Dilnaz Irani|Sachin Parikh|K.R. Parmeshwar|Rajkummar Rao|Naval Shukla|Ishwak Singh|Nutan Surya|Divya Unny|Suman Vaidya|,Biography|Drama
Nil Battey Sannata,Swara Bhaskar|Ratna Pathak Shah|Riya Shukla|Pankaj Tripathi|Neha Prajapati|Prashant Tiwari|Vishal Nath|Ganesh Kumar|,Drama|Family
Luv U Alia,V. Ravichandran|Chandan Kumar|Sudeep|P. Ravi Shankar|Sadhu Kokila|Srujan Lokesh|Sunny Leone|Sammir Dattani|Sudharani|Nikesha Patel|Bullet Prakash|Shakeela|,Family|Romance
Dhanak,Krrish Chhabria|Hetal Gada|Vipin Sharma|Gulfam Khan|Idhant Singh|Swastik Ram Chavan|Narendar Singh Rajpurohit|Vincent Daniel|Harmeet Arora|Sanjana Singh|Rajiv Laxman|Rishi Deshpande|Vijay Maurya|Pratyaksh Kalra|,Drama
Waiting ,Naseeruddin Shah|Kalki Koechlin|,Drama
Parched,Tannishtha Chatterjee|Radhika Apte|Lehar Khan|Surveen Chawla|Dinesh Pradhan|Farrukh Jaffar|Kanwar Jagdish|Riddhi Sen|Tarun Jasor|Praveen Choudhary|Prince Gehlot|Nancy Nisa Beso|Anuradha Adwani|Sumeet Vyas|,Drama
Island City ,Vinay Pathak|Amruta Subhash|Tannishtha Chatterjee|Chandan Roy Sanyal|Sameer Kochhar|Sana Sheikh|Uttara Baokar|Ashwin Mushran|Mithun Rodwittiya|Bhushan Vikas|Naman Banthia|Jaswinder Singh|Jyoti Subhash|Mukul Chadda|,Drama
Umrika,Aashish Bhatt|Uplaksh Kochhar|Megh Pant|Mayur More|Pankaj Chaudhary|Mukesh Agrohari|Pramod Pathak|Shreyas Pandit|Rajesh Singh|Mandar Shende|Ayussh Ashwani K. Verma|Tony Revolori|Shrikant Yadav|Shruti Bapna|,Comedy|Drama
Prem Ratan Dhan Payo,Salman Khan|Sonam Kapoor|Neil Nitin Mukesh|Deepak Dobriyal|Arman Kohli|Swara Bhaskar|Aashika Bhatia|Deep Raj Rana|Manoj Joshi|Sanjay Mishra|Samaira Rao|Anupam Kher|Suhasini Mulay|Sameer Dharmadhikari|,Action|Drama|Musical
Tanu Weds Manu: Returns,Kangana Ranaut|Madhavan|Jimmy Sheirgill|Swara Bhaskar|Rajesh Sharma|Mohammed Zeeshan Ayyub|Eijaz Khan|Deepak Dobriyal|Manu Rishi Chadha|Raj Awasti|Gaurav Mishra|Aakash Dahiya|Alex Jaep|,Comedy|Drama|Romance
Tanu Weds Manu: Returns,Kangana Ranaut|Madhavan|Jimmy Sheirgill|Swara Bhaskar|Rajesh Sharma|Mohammed Zeeshan Ayyub|Eijaz Khan|Deepak Dobriyal|Manu Rishi Chadha|Raj Awasti|Gaurav Mishra|Aakash Dahiya|Alex Jaep|,Comedy|Drama|Romance
31st October ,Soha Ali Khan|Lakha Lakhwinder Singh|Nagesh Bhonsle|Arohi Radhakrishnan|,Action|Drama|History
ABCD 2,Prabhu Deva|Varun Dhawan|Shraddha Kapoor|Lauren Gottlieb|Dharmesh Yelande|Punit Pathak|Raghav Juyal|Tisca Chopra|Jineet Rath|Akanksha Nehra|Prachee Shah Paandya|,Biography|Drama|Music
Dilwale ,Shah Rukh Khan|Kajol|Varun Dhawan|Kriti Sanon|Boman Irani|Varun Sharma|Johnny Lever|Mukesh Tiwari|Pankaj Tripathi|Sanjay Mishra|Chetna Pande|Vinod Khanna|Kabir Bedi|,Action|Comedy|Romance
Bajrangi Bhaijaan,Salman Khan|Harshaali Malhotra|Nawazuddin Siddiqui|Kareena Kapoor|Sharat Saxena|Alka Badola Kaushal|Om Puri|Meher Vij|Rajesh Sharma|Mir Sarwar|Khushaal Pawar|Krunal Pandit|Manoj Bakshi|Mursaleem Qureshi|,Action|Comedy|Drama
Bajirao Mastani,Ranveer Singh|Deepika Padukone|Priyanka Chopra|Tanvi Azmi|Mahesh Manjrekar|Raza Murad|Aditya Pancholi|Milind Soman|Vaibhav Tatwawaadi|Yatin Karyekar|Benjamin Gilani|Zila Khan|Ganesh Yadav|Sukhada Khandkekar|,Action|Drama|History
Welcome Back ,Anil Kapoor|Nana Patekar|Dimple Kapadia|John Abraham|Shruti Haasan|Shiney Ahuja|Paresh Rawal|Naseeruddin Shah|,Action|Comedy|Crime
Baby ,Akshay Kumar|Danny Denzongpa|Rana Daggubati|Taapsee Pannu|Anupam Kher|Kay Kay Menon|Sushant Singh|Madhurima Tuli|Mikaal Zulfiqar|Hasan Noman|Rasheed Naz|Kerem Sarikaya|Zachary Coffin|,Action|Thriller
Singh Is Bliing,Akshay Kumar|Amy Jackson|Lara Dutta|Kay Kay Menon|Rati Agnihotri|Yograj Singh|Pradeep Singh Rawat|Anil Charanjeett|Arfi Lamba|Kunal Kapoor|Murli Sharma|,Action|Comedy
Gabbar Is Back,Akshay Kumar|Shruti Haasan|Kareena Kapoor|Jaideep Ahlawat|Chitrangda Singh|Sunil Grover|Shruti Bapna|Jitendra Trehan|Suman|Vikas Shrivastav|Ishita Vyas|Rajiv Kachroo|Sanjay Gurbaxani|Jagdish Rajpurohit|,Action
Gabbar Is Back,Akshay Kumar|Shruti Haasan|Kareena Kapoor|Jaideep Ahlawat|Chitrangda Singh|Sunil Grover|Shruti Bapna|Jitendra Trehan|Suman|Vikas Shrivastav|Ishita Vyas|Rajiv Kachroo|Sanjay Gurbaxani|Jagdish Rajpurohit|,Action
Mumbai Can Dance Saala,Shakti Kapoor|Prashant Narayanan|Aditya Pancholi|Rakhi Sawant|Ashima Sharma|,Drama
Alone,Bipasha Basu|Karan Singh Grover|Sulabha Arya|Zakir Hussain|Neena Gupta|Nilima Priya|Sanjay Sharma|,Horror
Tevar,Arjun Kapoor|Sonakshi Sinha|Manoj Bajpayee|Deepti Naval|Raj Babbar|Shruti Haasan|,Action|Drama|Romance
Sharafat Gayi Tel Lene,Zayed Khan|Tina Desai|Anupam Kher|Rannvijay Singh|Talia Bentson|,Comedy|Drama|Mystery
Dolly Ki Doli,Malaika Arora|Karan Ashar|Mohammed Zeeshan Ayyub|Karim Hajee|Brijendra Kala|Sonam Kapoor|Saif Ali Khan|Umar Raza Khan|Rajkummar Rao|Pulkit Samrat|Varun Sharma|,Comedy|Romance
Hawaizaada,Naman Jain|,Biography|Drama
Khamoshiyan,Gurmeet Choudhary|Ali Fazal|Sapna Pabbi|Debina Choudhary|,Drama|Horror|Romance
Rahasya,Kay Kay Menon|Ashish Vidyarthi|Tisca Chopra|Mita Vasisht|Ashwini Kalsekar|Kakar Vinit|Jitendra Barsiwal|Farida Dadi|Ramesh Deo|Usha Jadhav|Bikramjeet Kanwarpal|Murari Kumar|Aarush Maurya|Nimai Bali|,Mystery|Thriller
Jai Jawaan Jai Kisaan ,Rati Agnihotri|Kanchan Awasthi|Rishi Bhutani|Prem Chopra|Imran Hasnee|Jatin Khurana|Avinash Kumar|,Biography|Drama|History
Shamitabh,Amitabh Bachchan|Dhanush|Akshara Haasan|Abhinaya|Pete Meads|Rukmini Vijayakumar|Shubham|Pratik|Sonamani|Rajeev|Ajay Jadhav|Asif Ali Beg|Ivan Rodrigues|Uday Tikekar|,Drama
Roy ,Arjun Rampal|Jacqueline Fernandez|Ranbir Kapoor|Barun Chanda|,Action|Drama|Mystery
Badlapur ,Varun Dhawan|Nawazuddin Siddiqui|Yami Gautam|Huma Qureshi|Neel Tyagi|Vinay Pathak|Radhika Apte|Pratima Kazmi|Divya Dutta|Kumud Mishra|Ashwini Kalsekar|Murli Sharma|Gopal K. Singh|Zakir Hussain|,Action|Crime|Drama
Crazy Cukkad Family,Swanand Kirkire|Shilpa Shukla|Kushal Punjabi|Siddharth Sharma|,Comedy
Take It Easy ,Sulabha Arya|Anang Desai|Jyoti Gauba|Yash Ghanekar|Vikram Gokhale|Smera Jadhav|Supriya Karnik|Vijay Kashyap|Prasad Reddy|Joy Sengupta|Dipannita Sharma|Manisha Thakur|,Drama
Ab Tak Chhappan 2,Nana Patekar|Mohan Agashe|Gul Panag|Ashutosh Rana|Raj Zutshi|Govind Namdeo|Vikram Gokhale|Bobby Bedi|Jagat Rawat|,Action|Crime|Thriller
Dum Laga Ke Haisha,Ayushmann Khurrana|Bhumi Pednekar|Sanjay Mishra|Kumar Sanu|Sheeba Chaddha|Seema Bhargava|Chandrachoor Rai|Devika Vatsa|Alka Amin|Shardul Rana|Mahesh Sharma|Shrikant Verma|Swedha Singh|V.K. Sharma|,Comedy|Drama|Romance
Dirty Politics ,Anupam Kher|Atul Kulkarni|Awadhesh Mishra|Govind Namdeo|Om Puri|Ashutosh Rana|Naseeruddin Shah|Mallika Sherawat|Jackie Shroff|Sushant Singh|,Drama
MSG: The Messenger,Gurmeet Ram Rahim Singh|Daniel Kaleb|Flora Saini|Jayshree Soni|Olexandra Semen|Gaurav Gera|Raju Pandit|,Action|Comedy|Drama
Badmashiyaan,Sidhant Gupta|Suzanna Mukherjee|Gunjan Malhotra|Sharib Hashmi|Karan Veer Mehra|,Comedy|Romance
Coffee Bloom,Arjun Mathur|Sugandha Garg|Ishwari Bose-Bhattacharya|Mohan Kapoor|,Drama
Hey Bro,Ganesh Acharya|Maninder Singh|Nupur Sharma|Prem Chopra|Hanif Hilal|Indira Krishnan|Govinda|Kurush Deboo|,Action|Comedy|Drama
NH10 ,Anushka Sharma|Neil Bhoopalam|Darshan Kumaar|Deepti Naval|Tanya Purohit|Kanchan Sharma|Tushar Grover|,Action|Crime|Drama
Hunterrr,Gulshan Devaiah|Radhika Apte|Sai Tamhankar|Veera Saxena|Rachel D'Souza|Hansa Singh|Divya Shah|Sagar Deshmukh|Nina Kulkarni|Vaibhav Tatwawaadi|Kiran Khoje|Shalva Kinjawadekar|Ayli Ghiya|Kallirroi Tziafeta|,Comedy|Romance
Detective Byomkesh Bakshy!,Sushant Singh Rajput|Anand Tiwari|Neeraj Kabi|Divya Menon|Swastika Mukherjee|Meiyang Chang|Mark Bennington|Taka Higuchi|Shivam|Kaushik Ghosh|Anindya Pulak Banerjee|Arindol Bagchi|Peter Wong|Pradipto Kumar Chakraborty|,Action|Mystery|Thriller
Luckhnowi Ishq,Adhyayan Suman|Karishma Kotak|,Drama
Ek Paheli Leela,Sunny Leone|Rahul Dev|Mohit Ahlawat|Jay Bhanushali|Jas Arora|Shivani Tanksale|Anand Vijay Kumar|Ehsaan Qureshi|Nausheen Ahmed|Girish Thappar|Daniel Weber|Kulvinder Bakshish|C. Jay Munshi|Siddharth Singh|,Mystery|Romance|Thriller
Barkhaa,Sara Loren|Priyanshu Chatterjee|,Drama|Romance
Mr. X ,Emraan Hashmi|Amyra Dastur|Tanmay Bhat|Sushil Pandey|,Action|Crime|Sci-Fi
NH-8 Road to Nidhivan,Auroshika Dey|Arjun Fauzdar|Swaroopa Ghosh|,Horror
Dilliwali Zaalim Girlfriend,Ira Dubey|Natalia Kapchuk|Prachi Mishra|Deepaq Sharma|Divyendu Sharma|Jackie Shroff|,Comedy|Drama
Dharam Sankat Mein,Naseeruddin Shah|Paresh Rawal|Annu Kapoor|,Comedy
Kaagaz Ke Fools,Vinay Pathak|Mugdha Godse|Raima Sen|,Comedy
Kuch Kuch Locha Hai,Ram Kapoor|Sunny Leone|Evelyn Sharma|Navdeep Chhabra|Suchita Trivedi|Mehul Buch|Prashant Kapoor|Priyanka Sharma|Avantika Khatri|Kurush Deboo|Errol Peter Marks|Sunny Rajani|Anshool Uttamani|Michael Hagerty-Roach|,Comedy|Drama
Piku,Deepika Padukone|Amitabh Bachchan|Irrfan Khan|Moushumi Chatterjee|Raghuvir Yadav|Jishu Sengupta|Balendar Singh|Swaroopa Ghosh|Sajal Bhattacharya|Rupsa Banerjee|Nutan Mathur|Prerna Chawla|Aniruddha Roy Chowdhury|Bishwadeep Chatterjee|,Comedy|Drama
Bombay Velvet,Ranbir Kapoor|Anushka Sharma|Karan Johar|Satyadeep Misra|Manish Chaudhary|Kay Kay Menon|Siddartha Basu|Vivaan Shah|Vicky Kaushal|Atul Srivastava|Akash Dabas|Jagdish Rajpurohit|Varun Grover|Sandesh Jadhav|,Action|Crime|Drama
I Love Desi,Shakti Anand|Arun Bali|Vedant Bali|Sunita Dhir|Gurpreet Ghuggi|Gulshan Grover|Mannat|Priyanka Shah|Karaan Singh|,Comedy|Romance
Dil Dhadakne Do,Anil Kapoor|Shefali Shah|Priyanka Chopra|Ranveer Singh|Anushka Sharma|Farhan Akhtar|Rahul Bose|Zarina Wahab|Vikrant Massey|,Comedy|Drama|Romance
Welcome 2 Karachi,Arshad Warsi|Jackky Bhagnani|Lauren Gottlieb|Kumud Pant|Ayub Khoso|Adnan Shah|Kubra Khan|Dalip Tahil|Pavan Malhotra|,Action|Comedy|War
P Se PM Tak,Meenakshi Dixit|Indrajeet Soni|Bharat Jadhav|Yashpal Sharma|Chinmay Jadhavrao|Deepak Shirke|Akhilendra Mishra|Mushtaq Khan|Aanand Kale|Vedish|Prerna Wanvari|Aakash Pandey|Geetanjali Kulkarni|Virendra Saxena|,Comedy|Drama
Mere Genie Uncle,Yash Acharya|Navina Bole|Hetvi Charla|Pankaj Kalra|Pratham Kalra|Shakti Kapoor|Swati Kapoor|Jenna Khan|Mushtaq Khan|Ayyan Mallik|Ehsaan Qureshi|Asheish Roy|Anuj Sikri|,Comedy
Hamari Adhuri Kahani,Rajkummar Rao|Vidya Balan|Emraan Hashmi|Amala Akkineni|Zachary Coffin|Anil George|Madhurima Tuli|Yatin Karyekar|Sara Khan|Paras Chhabra|Narendra Jha|Suhasini Mulay|Namit Das|Uday Chandra|,Drama|Romance
Miss Tanakpur Haazir Ho,Rahul Bagga|Hrishitaa Bhatt|Brijendra Kala|Annu Kapoor|Ravi Kishan|Sanjay Mishra|,Comedy|Crime|Family
Uvaa,Mohit Baghel|Sheena Bajaj|Manish Chaudhary|Lavin Gothi|Vinti Idnani|Jyoti Kalash|Rajit Kapoor|Yukti Kapoor|Elena Kazan|Hussain Khan|Neha Khan|Neha Khan|Bhupendra Singh Megh|Rohan Mehra|,Comedy|Drama
Ishq Ke Parindey,Rishi Verma|Priyanka Mehta|Manjul Azad|Abid Yunus Khan|,Music|Romance
Ishqedarriyaan,Mimoh Chakraborty|Kavin Dave|Mohit Dutta|,Romance
Sabki Bajegi Band,Swara Bhaskar|Shaurya Chauhan|Jhanvi Desai|Nisha Lalwani|Alekh Sangal|Samarth Shandilya|Aman Uppal|Sumeet Vyas|,Comedy|Drama
Masaan,Richa Chadha|Sanjay Mishra|Vicky Kaushal|Pankaj Tripathi|Vineet Kumar|Bhagwan Tiwari|Bhupesh Singh|Satya Kam Anand|Saurabh Chadhary|,Drama
Guddu Rangeela,Arshad Warsi|Amit Sadh|Ronit Roy|Aditi Rao Hydari|Shriswara|Dibyendu Bhattacharya|Amit Sial|Brijendra Kala|Rajiv Gupta|,Comedy|Drama
Bezubaan Ishq,Mugdha Godse|Sneha Ullal|Nishant|Darshan Jariwala|Farida Jalal|Sachin Khedekar|Muni Jha|Smita Jaykar|Alex Ashman|Jitu Pandya|Soniya Mehta|Rittesh Mobh|Akshita Sethi|Aru Krishansh Verma|,Musical|Romance
Aisa Yeh Jahaan,Yashpal Sharma|Ira Dubey|Tinnu Anand|Palash Sen|,Drama
Second Hand Husband,Dharmendra|Vijay Raaz|Sanjay Mishra|Gippy Grewal|Ravi Kishan|Alok Nath|Gurpreet Ghuggi|Rati Agnihotri|Supriya Karnik|Geeta Basra|Tina Ahuja|Mukesh Tiwari|Karamjit Anmol|Rubina|,Comedy
I Love NY ,Sunny Deol|Kangana Ranaut|Prem Chopra|Kubbra Sait|Maya Alagh|Manoj Joshi|Navin Chowdhry|Tannishtha Chatterjee|Jiten Mukhi|Virag Mishra|Lillete Dubey|,Comedy|Romance
Main Hoon Part-Time Killer,Smitha Gondkar|Shakti Kapoor|Sameer Khan|Reema Lagoo|Adithya Menon|Mohnish Nawani|Sunil Pal|Kavita Radheshyam|Kumar Siddharth|Sodi Sultan|,Comedy
Kaun Kitne Paani Mein,Kunal Kapoor|Radhika Apte|Saurabh Shukla|Gulshan Grover|,Comedy|Drama|Family
Drishyam ,Ajay Devgn|Shriya Saran|Tabu|Rajat Kapoor|Ishita Dutta|Mrunal Jadhav|Prasanna Ketkar|Yogesh Sonam|Prathamesh Parab|Rishab Chadha|Ashish Warang|Anil Nagarkar|Tarun Shukla|Smita Inamdar|,Crime|Drama|Mystery
Bangistan,Jacqueline Fernandez|Riteish Deshmukh|Michalina Olszanska|Saharsh Kumar Shukla|Aakash Dabhade|Pulkit Samrat|Rajesh Sharma|Zachary Coffin|Tom Alter|Kumud Mishra|Chandan Roy Sanyal|Janusz Chabior|Cezary Pazura|Arya Babbar|,Comedy|Drama
All Is Well ,Rishi Kapoor|Abhishek Bachchan|Asin|Supriya Pathak|,Adventure|Comedy|Drama
Brothers ,Akshay Kumar|Sidharth Malhotra|Jackie Shroff|Jacqueline Fernandez|Meghan Jadhav|Shefali Shah|Kiran Kumar|Ashutosh Rana|Kulbhushan Kharbanda|Ashok Lokhande|Raj Zutshi|Roderick Harding|Conan Stevens|Daniel Bernhardt|,Action|Drama|Sport
