Movie,LeadStudio,Genre
What to Expect When You're Expecting,Lionsgate,
Won't Back Down,Fox,
Wrath of the Titans,Warner Bros,
Wreck-It Ralph,Buena Vista,
Your Sister's Sister,IFC,
Zero Dark Thirty,Sony,
About Time,Universal,
The Fifth Estate,Buena Vista,
Parker,FilmDistrict,
The To-Do List,CBS,
Grown Ups 2,Sony,
After Earth,Sony,
Captain Phillips,Sony,
Escape Plan,Summit,
Prisoners,Warner Bros,
Stoker,Fox Searchlight,
Walking with Dinosaurs,Fox,
Love is All You Need,Sony,
The Kings of Summer,CBS,
Iron Man 3,Buena Vista,Action
Despicable Me 2,Universal,
THG: Catching Fire,Lionsgate,Action
The Desolation of Smaug,Warner Bros,
Frozen,Buena Vista,
Fast & Furious 6,Universal,Action
Monsters University,Buena Vista,
Gravity,Warner Bros,
Man of Steel,Warner Bros,Action
Thor: The Dark World,Buena Vista,
The Croods,Fox,
World War Z,Paramount,
Oz The Great & Powerful,Buena Vista,
Star Trek Into Darkness,Paramount,
The Wolverine,Fox,
Pacific Rim,Warner Bros,
G.I. Joe: Retaliation,Paramount,
The Hangover Part III,Warner Bros,
Now You See Me,Summit,Thriller
The Great Gatsby,Warner Bros,
The Smurfs 2,Sony,
The Conjuring,Warner Bros,Horror
A Good Day to Die Hard,Fox,
Oblivion,Universal,
Elysium,TriStar,
Turbo,Fox,
We're the Millers,Warner Bros,
Epic,Fox,
The Lone Ranger,Buena Vista,
Cloudy with a Chance of Meatballs 2,Sony,
The Heat,Fox,
Hansel & Gretel,Paramount,
Planes,Buena Vista,
White House Down,Sony,
Percy Jackson: Sea of Monsters,Fox,
Jack the Giant Slayer,Warner Bros,
The Wolf of Wall Street,Paramount,
Identity Thief,Universal,
The Secret Life of Walter Mitty,Fox,
Lee Daniels' The Butler,Weinstein,
Anchorman 2,Paramount,
American Hustle,Sony,
Insidious Chapter 2,FilmDistrict,
Olympus Has Fallen,FilmDistrict,
Bad Grandpa,Paramount,
Mama,Universal,
Red 2,Summit,
2 Guns,Universal,
12 years a slave,Fox Searchlight,Drama
This is the End,Sony,
47 Ronin,Universal,
Last Vegas,CBS,
Warm Bodies,Summit,
Ender's Game,Summit,
Gangster Squad,Warner Bros,
Riddick,Universal,
Evil Dead,TriStar,
42,Warner Bros,
Blue Jasmine,Sony,
Lone Survivor,Universal,
The Internship,Fox,
Saving Mr. Banks,Buena Vista,
Free Birds,Relativity Media,Animation
The Mortal Instruments: City of Bones,Sony,Action
Rush,Universal,
The Purge,Universal,
Pain and Gain,Paramount,
Philomena,Weinstein,
Carrie,Sony,
Scary Movie 5,Weinstein,
R.I.P.D.,Universal,
The Best Man Holiday,Universal,
Safe Haven,Relativity Media,
The Counselor,Fox,
The Call,TriStar,
Side Effects,Open Road,
Runner Runner,Fox,
Beautiful Creatures,Warner Bros,
A Haunted House,Open Road,
Kick-Ass 2,Universal,
Quartet,Weinstein,
The Last Stand,Lionsgate,
The Host,Open Road,
The World's End,Focus,
21 and Over,Relativity Media,
Snitch,Summit,
Jobs,Open Road,
The Place Beyond the Pines,Focus,
August: Osage County,Weinstein,
Spring Breakers,A24,
Homefront,Open Road,
Delivery Man,Buena Vista,
Dallas Buyers Club,Focus,Drama
Don Jon,Relativity Media,
Her,Warner Bros,Drama
Movie 43,Relativity Media,
Grudge Match,Warner Bros,
Mandela: Long Walk to Freedom,Weinstein,
Dark Skies,Weinstein,
Enough Said,Fox Searchlight,
Trance,Fox Searchlight,
Inside Llewyn Davis,CBS,
"The Way, Way Back",Fox Searchlight,
Baggage Claim,Fox Searchlight,
The Big Wedding,Lionsgate,
The Sapphires,Weinstein,
Broken City,Fox,
The Bling Ring,A24,
Dead Man Down,FilmDistrict,
Admission,Focus,
Fruitvale Station,Weinstein,
Battle of the Year,Sony,
The Last Exorcism Part II,CBS,
Machete Kills,Open Road,
Paranoia,Relativity Media,
I'm So Excited,Sony,
Nebraska,Paramount,
Out of the Furnace,Relativity Media,
Before Midnight,Sony,
Getaway,Warner Bros,
Bullet to the Head,Warner Bros,
Black Nativity,Fox Searchlight,
Blue Is the Warmest Color,IFC,
Unfinished Song,Weinstein,
The Spectacular Now,A24,
All Is Lost,Roadside Attractions,
Closed Circuit,Focus,
The Company You Keep,Sony,
Oldboy,FilmDistrict,
Frances Ha,IFC,
Emperor,Roadside Attractions,
Stand Up Guys,Lionsgate,
In a World,Roadside Attractions,
The East,Fox Searchlight,
No,Sony,
Renoir,Samuel Goldwyn,
Austenland,Sony,
The Iceman,Millenium Entertainment,
Girl Most Likely,Roadside Attractions,
Wadjda,Sony,
Much Ado About Nothing,Roadside Attractions,
The Butler,Weinstein,
The Canyons,IFC,
The Call,TriStar,
The English Teacher,Cinedigm Entertainment,
John Dies at the End,Magnolia,
Lovelace,Radius-TWC,Biography
